Month,C_tiobe,C_wiki,C_gtrend,C_tiobe_label,C_wiki_label,C_gtrend_label
2015-07,0.8871559633027523,0.0234438156831042,0.7291666666666666,high,low,high
2015-08,0.7568807339449543,0.0457558609539207,0.7083333333333334,high,low,high
2015-09,0.8385321100917431,0.0391269199676637,0.8958333333333334,high,low,high
2015-10,0.8908256880733947,0.0544866612772837,1.0,high,low,high
2015-11,0.9788990825688072,0.0518997574777687,0.8958333333333334,high,low,high
2015-12,0.9155963302752296,0.0281325788197251,0.8541666666666666,high,low,high
2016-01,0.8770642201834863,0.0460792239288601,0.6875,high,low,high
2016-02,0.8357798165137615,0.0263540824575586,0.6458333333333334,high,low,high
2016-03,0.744954128440367,0.0253839935327405,0.7708333333333334,high,low,high
2016-04,0.6816513761467891,0.0384801940177849,0.7083333333333334,high,low,high
2016-05,0.6183486238532111,0.0324979789814066,0.6875,low,low,high
2016-06,0.5412844036697249,0.0200485044462409,0.5416666666666666,low,low,low
2016-07,0.5284403669724771,0.0368633791430881,0.5833333333333334,low,low,high
2016-08,0.4422018348623854,0.0467259498787388,0.5833333333333334,low,low,high
2016-09,0.410091743119266,0.1010509296685529,0.7083333333333334,low,high,high
2016-10,0.3082568807339449,0.1073565076798706,0.8125,low,high,high
2016-11,0.2495412844036696,0.105092966855295,0.7291666666666666,low,high,high
2016-12,0.2064220183486239,0.1059013742926435,0.6458333333333334,low,high,high
2017-01,0.2633027522935779,0.1401778496362166,0.625,low,high,high
2017-02,0.1798165137614678,0.1122069523039612,0.5833333333333334,low,high,high
2017-03,0.1155963302752293,0.1210994341147938,0.6041666666666666,low,high,high
2017-04,0.0449541284403669,0.1201293451899757,0.5625,low,high,high
2017-05,0.0477064220183485,0.093290218270008,0.4791666666666667,low,high,low
2017-06,0.0339449541284403,0.0826192400970089,0.5208333333333334,low,high,low
2017-07,0.0770642201834862,0.1566693613581244,0.4791666666666667,low,high,low
2017-08,0.0,0.1742926434923201,0.4583333333333333,low,high,low
2017-09,0.0825688073394495,0.1660468876313662,0.5833333333333334,low,high,high
2017-10,0.1733944954128439,0.1476151980598221,0.6666666666666666,low,high,high
2017-11,0.2577981651376146,0.1113985448666127,0.6041666666666666,low,high,high
2017-12,0.3376146788990826,0.1089733225545675,0.5625,low,high,high
2018-01,0.4183486238532109,0.2195634599838318,0.375,low,high,low
2018-02,0.4935779816513761,0.2583670169765562,0.1041666666666666,low,high,low
2018-03,0.5761467889908257,0.3670169765561843,0.1666666666666666,low,high,low
2018-04,0.6522935779816514,0.4176232821341956,0.125,high,high,low
2018-05,0.689908256880734,0.5770412287793047,0.1041666666666666,high,high,low
2018-06,0.7761467889908257,0.5915925626515764,0.0,high,high,low
2018-07,0.7504587155963304,0.4730800323362975,0.0,high,high,low
2018-08,0.7788990825688075,0.3725141471301536,0.1041666666666666,high,high,low
2018-09,0.8229357798165138,0.2826192400970089,0.2083333333333333,high,high,low
2018-10,0.81651376146789,0.1560226354082457,0.25,high,high,low
2018-11,0.726605504587156,0.1215844785772029,0.4583333333333333,high,high,low
2018-12,0.7155963302752294,0.0360549717057396,0.5625,high,low,high
2019-01,0.6293577981651376,0.0397736459175424,0.5416666666666666,high,low,low
2019-02,0.544954128440367,0.0255456750202101,0.5208333333333334,low,low,low
2019-03,0.626605504587156,0.042522231204527,0.5833333333333334,low,low,high
2019-04,0.6972477064220184,0.0583670169765561,0.5833333333333334,high,low,high
2019-05,0.7119266055045872,0.0318512530315278,0.5208333333333334,high,low,low
2019-06,0.6256880733944955,0.0299110751818916,0.4583333333333333,low,low,low
2019-07,0.7091743119266056,0.0488278092158447,0.4375,high,low,low
2019-08,0.7954128440366973,0.0596604688763136,0.4166666666666667,high,low,low
2019-09,0.8009174311926607,0.0767987065481002,0.5416666666666666,high,low,low
2019-10,0.889908256880734,0.0939369442198868,0.6041666666666666,high,high,high
2019-11,0.8770642201834863,0.1143088116410671,0.6041666666666666,high,high,high
2019-12,0.881651376146789,0.0467259498787388,0.5,high,low,low
2020-01,0.8522935779816514,0.0444624090541633,0.3958333333333333,high,low,low
2020-02,0.9440366972477064,0.0397736459175424,0.4375,high,low,low
2020-03,0.903669724770642,0.0701697655618431,0.5208333333333334,high,low,low
2020-04,0.9394495412844036,0.0769603880355699,0.5,high,low,low
2020-05,0.971559633027523,0.0324979789814066,0.4583333333333333,high,low,low
2020-06,0.9825688073394496,0.030234438156831,0.4166666666666667,high,low,low
2020-07,0.9146788990825688,0.0452708164915117,0.3958333333333333,high,low,low
2020-08,0.963302752293578,0.0646725949878739,0.3958333333333333,high,low,low
2020-09,0.8688073394495412,0.0995957962813257,0.4583333333333333,high,high,low
2020-10,0.9605504587155964,0.0785772029102667,0.5,high,high,low
2020-11,0.8926605504587157,0.0478577202910266,0.5,high,low,low
2020-12,0.9174311926605506,0.0337914308811641,0.4791666666666667,high,low,low
2021-01,1.0,0.0255456750202101,0.3958333333333333,high,low,low
2021-02,0.9045871559633027,0.0407437348423605,0.4791666666666667,high,low,low
2021-03,0.8119266055045873,0.0295877122069523,0.5,high,low,low
2021-04,0.7192660550458716,0.0095392077607114,0.375,high,low,low
2021-05,0.6330275229357799,0.000485044462409,0.3541666666666667,high,low,low
2021-06,0.5559633027522936,0.0072756669361358,0.4583333333333333,low,low,low
2021-07,0.4724770642201836,0.027647534357316,0.3125,low,low,low
2021-08,0.5587155963302753,0.0342764753435731,0.3958333333333333,low,low,low
2021-09,0.4908256880733945,0.0324979789814066,0.5416666666666666,low,low,low
2021-10,0.4293577981651376,0.0446240905416329,0.6041666666666666,low,low,high
