Job Title,Company Name,Location,Salary,Job Type,Job Description,Date
IT DEVELOPER MICROSOFT DYNAMICS,PT The Master Steel MFc,"Menteng, Jakarta",Rp 5.000.000 – Rp 6.000.000 per month,Part time,"Developer/Technical Consultant, Microsoft Dynamics
 Job Requirements:
 Bachelor’s degree in Computer science, Information Technology, or related field.
Minimum of 1 year of experience as a developer.
Understanding the fundamentals of Microsoft Dynamics products. This includes Dynamics 365, Dynamics CRM, and other related tools. Microsoft provides extensive documentation and online training resources.
Familiar with Journal entry, AP, AR and Account reconciliation
Proficiency in programming languages such as AX X++, C#, and .NET.
Knowledgeable in SQL Server database operations.
Strong understanding of system integration techniques and tools.
Have an understanding of reporting services 
Excellent problem-solving and analytical skills.
Strong communication and interpersonal skills.
Ability to work effectively in a team-oriented environment.",None
Senior IT Developer,PT Bhinneka Life Indonesia,"West Jakarta, Jakarta",None,Full time,"Job Description:
Bertanggungjawab atas pengembangan sistem yang berjalan.
Review dan debug existing code.
Memahami dan menganalisis proses bisnis dengan proses sistem IT yang ada dan melakukan pemantauan, pemeliharaan serta perbaikan.
Memberikan respon kepada User atas permintaan pengembangan sistem.
Mentoring dan membimbing anggota tim junior, mendorong pertumbuhan profesional mereka serta mendorong penerapan standarisasi kualitas pengembangan sistem.
 Job Requirement:
Memiliki pengalaman sebagai developer minimal 3 tahun.
Memiliki pengalaman dalam manage team dan lead team developer.
Menguasai bahasa pemograman PHP, HTML, CSS Javascript dan NodeJs.
Menguasai penggunaan database (Oracle, SQL, Server dan MySQL).
Memahami Git, Docker dan sistem operasi (Linux & Windows server).
Memiliki kemampuan untuk bekerja secara mandiri dan kelompok.
Mengenal istilah-istilah dalam dunia perasuransian menjadi nilai plus.",None
IT Developer,PT Asuransi Central Asia,"West Jakarta, Jakarta",None,Full time,"Job Desc:
Melakukan development aplikasi
Melakukan analisa atas Requirement
Merencanakan pemasangan pada system baru atau existing
Membuat laporan kepada atasan
 Kualifikasi :
Minimum education Bachelor majoring in Information Engineering / Information Systems. minimum GPA of 3.00 (scale 4)
Fresh Graduate welcome to apply
Highly skilled in VB.Net and SQL
Prefer to understand CGISS / CHISS
Interest in coding and programming
Able to analyze business process and system functionality
Good Analytical Thinking
Good Documentation
Having good attitude, responsible can work multiple project and excellent team player
Good time management, self descipline and strong interpersonal communication
Proses recruitment dilaksanakan Offline
Penempatan di Jakarta Barat
 ",None
IT Application Developer,Ciputra Hospital (Kalideres),"West Jakarta, Jakarta",None,Full time,"Bertanggung jawab untuk membuat, meningkatkan, dan memelihara aplikasi perangkat lunak yang mendukung proses dan tujuan bisnis organisasi dan bekerja sama dengan analis bisnis, manajer proyek, dan pemangku kepentingan lainnya untuk memahami persyaratan dan menerjemahkannya ke dalam solusi perangkat lunak yang fungsional dan efisien.

Kualifikasi:
Menguasai bahasa pemrograman/kerangka kerja berikut ini: HTML5, AngularJS, Ionic, PHP, Codeigniter, Laravel, dan Javascript
Memiliki pengalaman dalam pemrograman mobile/web / Aplikasi Web Progresif (PWA) merupakan nilai tambah
Memiliki pengetahuan yang baik tentang sistem basis data relasional dan tidak memiliki Konsep SQL
Pemahaman yang baik tentang Query
Memiliki pengetahuan yang baik untuk siklus pengembangan.
Memiliki pengalaman dengan alat debugging untuk pemrograman seluler / web
Pengalaman dalam integrasi layanan web (SOAP, REST API, JSON)
Pengalaman membangun aplikasi mobile/web minimal 3 tahun
Pengalaman pengembangan dengan framework Progressive Web Application minimal 2 proyek
Pengalaman menggunakan kontrol versi GIT
Memiliki kemampuan analitik dan pemecahan masalah yang baik dan kreatif",None
IT PROGRAMMER / DEVELOPER (Odoo Developer),PT Haeng Nam Sejahtera Indonesia,"Bogor, West Java",None,Full time,"Requirements 
Bachelor's degree preferably in Computer Science, Information Systems, or Engineering, but any other field is welcomed.
Minimum of 2 years of experience in Odoo development.
Strong knowledge of Odoo, Python, ORM, SQL, JS, CSS, and programming concepts.
Attention to detail and problem-solving skills.
Integration and Unit Testing Knowledge.
Interest in enterprise application development.
Strong organizational skills with the ability to multi-task.
Responsibilities
Develop and Improve Odoo apps.
Maintaining existing modules.
Complete and clear documentation for any task/work done.
Delivering and producing the detailed design of Odoo Code & Unit test plans.
Cooperate with internal and external parties to complete the development tasks.
Troubleshooting and Debugging of code-related issues.
Focus mainly on various ODOO solutions development and support.",None
IT Backend Developer,FamilyMart Indonesia,"Setiabudi, Jakarta",None,Full time,"Job Desription:
Create new program to fulfill company’s needs
Maintain program troubleshooting (bugs fix)
Coordinate with another team for IT Support
Develop the program according to technical specification and make technical documentation
 Job Requirements:
Graduated from reputable university with a degree of Informatics Engineering/Computer Science or equivalent
2 year experiences as Developer/Programmer/Software.
Required Skills: GO, Laravel, .NETCORE, Phyton, SQL Server, MySQL, Postgresql, MongoDB, BigQuery
Have done application implementation based on MVC Framework
Have another knowledge such as Containerize, GKE, Message Broker, Redis, Machine Learning is highly preferable.
Good knowledge in algorithm and software design concept.
Placement : Jakarta Selatan",None
Project Manager IT/Senior Developer,PT Solusi Prima Packaging,"Tangerang, Banten",None,Full time,"Responsibilities:
 Project Management:
• Plan, oversee, and manage IT projects from start to finish.
• Identify risks and take necessary preventive actions.
• Ensure projects are completed according to the established schedule and resources.
• Collaborate with cross-functional teams, including business users, technical partners, etc.
• Ensure effective communication between team members.
 Software Development:
• Lead the development team in designing, developing, and testing software.
• Use .NET programming languages (C# or VB.NET) to develop applications and systems.
 Business Analysis:
• Understand business needs and articulate technical solutions.
• Analyze business processes and identify improvements.
 Qualifications:
• Diploma (D3) or Bachelor’s degree (S1) in Information Technology.
• Minimum 5 years of experience as a software developer with in-depth knowledge of .NET.
• Experience in IT project management.
• Strong communication skills and leadership qualities.
• Familiar with tools used in IT project management.",None
IT DEVELOPER,SEYVEN INOVASI TEKNOLOGI,Jakarta,Rp 5.000.000 – Rp 7.500.000 per month,Contract/Temp,"Kualifikasi :
 Pendidikan terakhir S1/ D4 atau mahasiswa akhir di IT
Minimal 1 tahun bekerja dibidang Database Operation
Menguasai proses administrasi database server SQL server 2012++ / Postgre / MySQL
Menguasai PHP, Laravel
Menguasai Windows dan Linux
Menguasai konsep RDBMS
Memiliki skill leadership
Pernah Membuat Web Developer/Website
Mengerti dan Mempunyai skill coding
 DESKRIPSI
Melakukan instalasi / uninstall, konfigurasi, dan tuning database
Melakukan patching, upgrade maupun downgrade database sesuai kebutuhan dan keputusan manajemen
Melakukan backup dan restore database
Melakukan troubleshooting untuk menyelesaikan permasalahan yang berkaitan dengan database
Mengadministrasikan dan mengontrol akses user ke database sesuai dengan peran / wewenang masing-masing
Melakukan konfigurasi high availability dan disaster recovery (replication) untuk SQL Server
Memonitor kapasitas dan performance server database secara berkala dan membuat monthly report

 ",None
IT Developer (Ho),PT DIAN GRAHA ELEKTRIKA,Jakarta,None,Full time,"Tanggung Jawab :
Merencanakan desain database dan pemrograman sistem, sesuai dengan kebutuhan aplikasi bisnis agar dapat diaplikasikan
Merencanakan dan menangani spesifikasi fungsional, pengembangan sistem, instalasi, integrasi sistem, dan pelaksanaan tes, agar seluruh aktivitas tersebut berjalan dengan baik
Menangani proyek-proyek yang terkait dengan IT Business Analyst untuk memastikan proyek tersebut sesuai target
Merancang, dan menulis program komputer, dokumen rancangan program, coding program, dan pemeliharaan untuk menangani kebutuhan bisnis tertentu serta memungkinkan perubahan di masa depan
Melakukan konsultasi untuk menentukan kebutuhan dan analisa kebutuhan internal IT agar dapat memberikan solusi secara tepat waktu dan akurat pada hasilnya
 Kualifikasi:
S1 dengan latar belakang pendidikan Sistem Informatika/ Teknik Informatika
Pengalaman kerja minimal 2-3 tahun di bidang IT System Development atau AI
Kompetensi teknis (Hard Skills)
Pengetahuan mengenai bisnis ERP secara umum
Pengetahuan dasar teknologi pemrograman (C/C++, Java,JavaScript, atau Node.js,
Pengalaman dalam desain dan pengembangan perangkat IoT (sensor, aktuator, dan protokol komunikasi)
Pengalaman dengan platform IoT seperti AWS IoT, Google Cloud IoT, atau Microsoft Azure IoT, Pemahaman tentang machine learning, deep learning, dan teknik AI-based automation.
Pengalaman dengan framework TensorFlow, PyTorch, atau scikit-learn.
Pemahaman mengenai keamanan siber terkait perangkat IoT, enkripsi data, dan pengelolaan identitas.
 Jika memiliki sertifikasi khusus bidang IoT / AI akan menjadi nilai tambah.
Kompetensi non teknis (Soft Skills)
Kemampuan konseptual
Pengaturan dan pengorganisasian
Perhatian terhadap hal detail",None
IT JAVA Programmer (Senior),PT Hitachi eBworx Indonesia,"Central Jakarta, Jakarta",None,Full time,"Participate in requirement, design, implementation, testing and support of custom banking solutions, which include features enhancements, new functionalities, and back-end systems integration.
Collaboration with customers to prepare technical specifications.
Interact with subject matter experts (functional & technical) to understand business requirements and technology architecture of the applications accordingly.
Contribute to code reviews for quality assurance and conformance to standards / guidelines.
Provide technical guidance and lead/develop team members.
Assist in infrastructure & system software setup for development and testing environments.
Ensure timely completion of tasks delegated.
Requirements:
Degree in Computer Sciences / Software Engineering / Information Technology.
·Have professional experience with PL/SQL, Oracle Weblogic, Hibernate
At least 3 years of working experience in Java EE development (preferably in financial industry).
Individual that is optimistic, proactive, good initiative, passionate, strives to achieve more as a team, and able to motivate others.
Understand design documentation standards such as Unified Modeling Language.
Experience in various Java EE frameworks and design patterns.
Exposure in Java EE MVC frameworks such as Apache Struts / Apache Struts 2.
Involved in implementing applications leverages on various Java EE services including but not limited to Enterprise Java Bean, Java Database Connectivity, and Java Messaging Services.
Experience in IBM WebSphere Application Server / Oracle WebLogic / Oracle Database Server with SQL/PL-SQL programming.
Good verbal and written communication in English, technical, analytical, troubleshooting and consultative skills. Proficiency in National Language will be an added advantage.
Ability to cope with tight deadlines and adhere to the delivery plan.
Hybrid (3 days WFO in a week)
Ability and willingness to travel within the region.",None
