Job Title,Company Name,Location,Salary,Job Type,Job Description
"Back-End Developer
- job post",Anggada Duta Wisesa,Jakarta,"Rp. 10,000,000 a month",Temporary,"PT Anggada Duta Wisesa ( https://adw.co.id/ ) adalah penyedia solusi terintegrasi untuk transformasi digital, khususnya di bidang pengadaan dan manajemen rantai pasokan. Saat ini ADW membutuhkan tenaga profesional yang handal untuk mengisi posisi Front-End Developer dan Back-End Developer. Posisi ini sangat penting dalam mendukung pengembangan solusi teknologi inovatif yang kami rancang untuk memenuhi kebutuhan klien kami di berbagai sektor.
Kami membutuhkan kandidat yang berkompeten dan berpengalaman dalam pengembangan aplikasi berbasis web, dengan kemampuan teknis yang tinggi serta memiliki semangat kerja sama tim yang baik. Posisi ini bersifat mendesak, dan kami berharap dapat segera mengisi kebutuhan ini segera.
Spesifikasi untuk Back End Developer:
Memahami implementasi OOP dengan baik (extends,interface,traits)
Memahami penggunaan DI(Dependency Injection)
Menguasai pembuatan Unit Test (Test, Mocking)
Memahami optimasi dan efisiensi penulisan code,database & query
Memiliki kampuan problem solving & analisa yang baik secara individu
Memiliki kemapuan komunikasi yang baik
Technical Requirement: PHP, Laravel, Docker, MySql & Postgre
Job Types: Full-time, Trial period contract
Contract length: 6 months
Education:
SMA/SMU/SMK (Preferred)
Experience:
Back End Developer: 2 years (Preferred)
Application Deadline: 10/12/2024"
"Back End Developer
- job post",Kolega Coworking space,Jakarta,None,Part-time,"Company Description

Kolega Coworking Indonesia promote a culture of flexibility, openness, and innovation. In our co-working space, networking is a constant activity, regular interactions lead to building of relationship and trust, to sharing knowledge and projects collaboration. It is the place where well-established company, start-up company, freelancers, entrepreneurs, and other independent workers pay a fee to share a workspace and benefit from working in the presence of one another.

Working at our spaces can ease some of the difficulties of starting a new business and provide valuable resources and connection you won’t find anywhere else. We work together and share values: community, collaboration, openness, accessibility and sustainability. Work is no longer about repetitive process but increasingly about connection, interaction and collaboration. Our Communities are based on friendship in which you are able to grow as a person. Here, in Koléga friendship is embodied in working alongside your partners and those who shares the same space with you. Kolega provides you with the space, community, services and make sure you do what you love to fulfill a satisfaction life, not just a living.

Job Description
Participate in the entire application lifecycle, focusing on coding and debugging
Write clean code to develop functional web applications
Troubleshoot and debug applications
Perform UI tests to optimize perfomance
Manage cutting-edge technologies to improve legacy applications
Collaborate with Front-end developer to integrate user-facing elements with server side logic
Gather and address technical and design requirements
Build reusable code and libraries for future use
Liaise with developers, designers, and system administrators to indentify new features

Qualifications
Bachelor’s Degree in Computer Science or relevant field
Proven work experience as a Back-end developer
In-depth understanding of the entire web development process
Hands on experience with programming languages like Java, PHP, and Python
Working knowledge of CMS framework
Familiarity with front-end languages (e.g. HTML, JavaScript, and CSS)
Excellent analytical and time management skills
Teamwork skills with a problem-solving attitude

Additional Information

Flexible Working Hours"
"Junior Back-end Engineer (JBE)
- job post",DDTC,Jakarta,None,None,"Job Description
Developing a highly concurrent and distributed system.
Performance optimization and problem diagnosis.
You will be deeply engaged in the full development lifecycle designing, developing, testing, deploying, maintaining, monitoring, and improving the software.
Supporting release and documentation of developed features
Estimating the effort required to develop and implement
Willing to learn & adapt to different technologies
Job Requirements
Good attitude.
Good teamwork and communication.
Attention to detail
Familiar with a microservice
Familiar with PHP framework (CI, Laravel)
Familiar with MySQL
Familiar with RESTful API.
Proficient with Git.
1 years experience (Fresh graduates are welcome)
Self-motivated
Please submit your application with subject “JBE – your full name” along with combined documents in pdf through email: recruitment@ddtc.co.id. The combined documents should include: this application form, cv, academic certificate(s)/SKL, academic transcript(s), latest photo, application letter, and portfolio/ other certificate(s)."
"Back-end (Node.js) Developer
- job post",Bibit.id,Jakarta,None,Full-time,"Company Description

Bibit.id is a platform to help you to start your investment in mutual fund in a very simple way.

Job Description

We are looking for a skilled and passionate Back-end API Developer who will be responsible for our server-side application logic along with its integration with the front-end platforms. In this position, you will use your programming skills and tools to analyze and translate business/feature requirements into well-structured, efficient, scalable software. You will also be actively involved in researching new technologies/tools that can be incorporated to improve the current system.
Responsibilities :
Build solid, secure, performant and scalable APIs to serve our front-end platforms
Optimize existing codes to improve performance and efficiency
Collaborate with Product, QA and UI team to deliver features and improvements
Implement best practices in security and data protection
Design and implement efficient & scalable database

Qualifications

Requirements :
Proficient knowledge in NodeJS (JavaScript) - minimum 2 years
Experience in Golang is a big plus
Proficient knowledge in PHP framework Codeigniter - minimum 2 years
Highly experienced in MySQL efficient table schema & database querying
Excellent understanding of the concept of APIs and Frontend-Backend communication
Comfortable operating in Linux environment
Experience with modern version control systems with Git / Mercurial
Understands general security practice in back-end development
Self-motivated & eager to improve by keeping up-to-date with the latest trends in back-end development
Good teamwork skills, capable in collaborating with other team members
Good self-managing skills, in particular with keeping up with timeline
AWS infrastructure knowledge is a big plus (S3, serverless, autoscaling, etc.)"
"Front End Developer
- job post",Weekend Inc,Jakarta,None,None,"Responsibilities :
Develop new user-facing features
Ensuring pixel-perfect implementation from UI/UX mockup
Ensuring the websites are accessible, from laptops and smartphones
Ensuring data accuracy via back-end services integration
Ensure timely delivery of the new feature in an agile development
Collaborate with other team members and stakeholders
Optimize web for maximum speed and scalability
Requirements :
Minimum age 18 years old
Familiar with design tools such as Figma or Zeplin
Proficient understanding of web development, including HTML, CSS, JavaScript
Basic understanding of CSS preprocessor, such as LESS and SASS
Good understanding of javascript libraries or frameworks such as AngularJS or ReactJS
Basic understanding of using code versioning tools such as Git
Basic understanding of cross-browser compatibility issues
Good communication and problem solving with teams and clients
Have analytical skill for user interface, performance, and data integration
Have the initiative to be proactive and independent in projects and team activities
Have a positive and growth mindset towards developing technology"
"Experience Level
- job post",Summarecon,Jakarta,None,None,"Requirements:
Degree in Computer Science.
Minimum experience 2-3 years
Strong organizational and project management skills.
Strong in PHP Framework like laravel/Code Igniter.
Familiarity with JavaScript frameworks such as Angular JS / React / Amber.
Proficiency with server side languages such as Python / Node JS / Java / PHP
Familiarity with database technology such as MySQL / MongoDB.
Basic understanding of front-end technologies and platforms, such as JavaScript, HTML5, and CSS3, ReactJS
Good understanding server-side CSS preprocessors
Integration of multiple data sources and database into one systems
Management of hosting environment, including database administration and scaling application to support load changes
Data migration, transformation, and scripting
Setup and administration of backups
Outputting data in different formats
Placement at Gading Serpong, Tangerang

Job Description:
Developing back end website applications.
Creating servers and databases for functionality.
Ensuring cross-platform optimization for mobile phones.
Ensuring responsiveness of applications.
Working alongside graphic designers for web design features.
Seeing through a project from conception to finished product.
Designing and developing APIs.
Integration of user-facing elements developed by a front-end developers with server-side logic
Building reusable code and libraries for future use
Optimization of the application for maximum speed and scalability
Implementation of security and data protection
Design and implementation of data storage solutions"
"Back End Engineer (ShopeePay) - Sea Labs
- job post",Shopee,Jakarta,None,None,"Department Engineering and Technology
LevelEntry Level
LocationIndonesia - Jakarta
The Engineering and Technology team is at the core of the Shopee platform development. The team is made up of a group of passionate engineers from all over the world, striving to build the best systems with the most suitable technologies. Our engineers do not merely solve problems at hand; We build foundations for a long-lasting future. We don't limit ourselves on what we can or can't do; we take matters into our own hands even if it means drilling down to the bottom layer of the computing platform. Shopee's hyper-growing business scale has transformed most ""innocent"" problems into huge technical challenges, and there is no better place to experience it first-hand if you love technologies as much as we do.
About the Team:
About Sea Labs Indonesia
Sea Labs is at the core of the Sea platforms development, supporting diverse business lines from e-commerce, supply chain, games, payment and finance, among many others. The strong growth and unique positioning of Sea's e-commerce business, Shopee, spurred the launch of Sea Labs Indonesia. Since its inception, the group of passionate engineers have charted the course to drive the best experience for our users in Indonesia, many of which solutions are even adapted to other markets in the region.

Sea's hyper-growing business scale has transformed most ""innocent"" problems into huge technical challenges, and there is no better place to experience world-class projects first-hand if you love technologies as much as we do.Together with our passionate and driven teams, you'll get to develop your skills, build on industry knowledge and collaborate with global teams in a dynamic space. Browse our Sea Labs Indonesia team openings to see how you can make an impact with us.

About the Team
The Payment team, best known for their flagship product: ShopeePay, aims to develop a mature, world-class payment platform connecting individuals and businesses within Shopee ecosystem. Beyond ShopeePay, the Team also connects with a large number of local financial institutions to serve billions of Shopee and SeaMoney users across the different markets.

Together, we aim to reach the forefront of cashless payment technology by providing a more accessible, secure and reliable payment network that empowers individuals as well as micro, small and medium enterprises around the globe.
Job Description:
As a Back End Engineer, you will work with some of the most talented minds in the world, collaborating with fellow Developers, Product Managers, User Experience Designers and Operation Engineers to build user-centric, business-critical functionalities that delight both internal businesses and external end-users. Your main responsibility includes (but not limited to):
Design and development of backend services, systems, or platforms used by our products and our user
Write high-quality, clean, elegant, and maintainable code
Build common libraries
Analyse requirements, design, and develop functionalities based on the product requirements
Understand the product thoroughly, constantly optimise the product, identify and fix problems, improve stability and user experience
Design and implement various supporting tools as needed
Collaborate with other engineers, product managers, user experience designers, and operations engineers to build features and products

Requirements:
Bachelor's degree or above in Computer Science or related fields
Candidates with no working experience are welcome to apply
Passionate about coding and programming, innovation, and solving challenging problems
In-depth understanding of computer science fundamentals (data structures and algorithms, operating systems, networks, databases, etc)
Strong and hands-on experience with at least one of the programming languages such as Go, Python, Java
Hands-on experience and knowledge in relational databases such as MySQL
Strong logical thinking abilities
Familiar with Linux development environments and multi-threaded programming
Familiar with common network protocols (TCP, UDP, HTTP) and network programming
Experience in server/web security
Hands-on experience in Web Service frameworks and technologies such as Django, Ruby On Rails, or Node.js"
"Customer Service
- job post",MWN Masterweb,Jakarta,None,None,"Job Desk
Serving the needs of customer better information, complaints, requests related products and services in accordance with the kpi as specified by the company
Resolving complaints, and after sales service that goes through the customer service representatives
Coordinate with the back end customer related issues
Update information to new customers

General requirements
Willing to work shifting schedule
Maximum age 26 years old
Min education D3
At least 1 years experiences of working in related field is required for this position, (Fresh graduted are welcome)
Ability to operate computers, Microsoft , windows, office etc

Skill & Experience
Good Communication & interpersonal Skills
Self Confident
Good typing skills
Good Command of the English language"
"Back End
- job post",Epicultura Group,Jakarta,None,Full-time,"Ubah desain web kode khusus PHP.
Buat kode sumber yang dirancang dengan baik dan sesuai dengan standar web yang diterima.
Memperbaiki website yang ada sesuai dengan kebutuhan perusahaan.
Kemampuan untuk bekerja dengan baik di bawah tekanan dan mengatur waktu secara efektif.
Kemampuan untuk bekerja secara mandiri atau dalam tim.

Pendidikan Sarjana IT/Ilmu Komputer
Pengalaman kerja minimal 1-2 tahun di bidang web developer.
Pemahaman yang Diperlukan tentang integrasi API, PHP/MySQL, Javascript, CMS, CodeIgniter, XHTML, CSS, Payment Gateway.
Berpengalaman dalam Istirahat API Penuh.
Konsumsi API Bangunan Berpengalaman.
Pahami CI/CD yang Digunakan.
Berpengalaman dalam membuat website seperti ERP/CRM.
Pemahaman tentang RDBMS (qlserver, mysql).
""Pihak HiredToday.com dan Perusahaan tidak akan meminta biaya dalam bentuk apapun pada saat melakukan proses recruitment. Mohon segera melaporkan kepada kami, apabila Anda jika pada saat diundang untuk interview dan diminta untuk melakukan pembayaran dengan sejumlah uang.""
""HiredToday.com and the Company will not ask for any form of payment during the recruitment process. Please report to us immediately, if you are invited for an interview and asked to make a payment with a sum of money."""
"Back End Developer
- job post",PT Akseleran Keuangan Inklusif Indonesia,Jakarta,None,None,"Responsibilities:
Write well designed, testable, efficient code by using best software development practices
Create and maintain software documentation
Learn and adapt to new technology implemented to support our core business

Requirements:
Bachelor's degree in Software Engineering or a related subject is required
Have experiences developing software using Python as a language and frameworks such as: Flask, Django
Have experience in creating unit testing. Been working with TDD is a plus.
Able to work with Linux OS
Able to communicate and coordinate with the team
Able to build and maintain REST APIs
Ability to develop lightweight, scalable applications on micro service and component architecture using message brokers, queues
Minimum 2 years of professional experience
Have experiences using PostgreSql, Mysql and Redis is a plus
Able to use GIT
Fast learner and able to implement leading edge information technologies
Having knowledge on SCRUM is a plus
Experience in developing any finance related software is a plus"
