Job Title,Company Name,Location,Salary,Job Type,Job Description,Date
Senior Data Scientist - Hybrid Set up (Semarang),PT Accenture,"Semarang, Central Java",None,Full time,"Responsibilities
Drive sales and solutioning of data science/analytics engagements
Manage and/or supervise project delivery
Mentor teams, build new capabilities, support/contribute to thought leadership and building new skills.
Work seamlessly with Client teams in positioning data science/analytical capabilities and with help of them drive deliver data science/analytics engagement.
Manage the challenges of using statistics in a business setting, such as incomplete data, biased data, large data sets, low signal-to-noise ratios, high variance, and multiple objective functions
Requires being creative and resourceful and will utilize traditional statistical methodologies as well as newer techniques from computational statistics and data mining and big data capabilities.
Qualifications
Experience in one or more statistical software packages such as R, SAS, SPSS, etc
Experience in one or more programming languages such as Python, R, etc
Experience in one or more machine learning solutions such as TensorFlow, IBM Watson, etc
Experience in one or more tools for visualization such as Tableau, Qlik, D3, etc
Good understanding of statistical modelling and machine learning
Good understanding of machine learning techniques such as Neural Networks, Random Forest, etc
Ability to meet travel requirements, when applicable
Have a minimum of 3-5 years in relevant experience
Have a minimum of Bachelor degree",None
Data Engineer,PT. LUNA BOGA NARAYAN (Kopi Janji Jiwa),"West Jakarta, Jakarta",None,Full time,"Design, develop, and maintain a robust and efficient data architecture for Data Lake/Data Warehouse
Design, develop, and maintain data workflows (data pipelines) to flow data efficiently for ETL Data process
Ensure data quality and consistency by implementing data testing, validation and cleansing for ETL Data process
Troubleshoot and monitor data pipelines to have high availability of error
Explore new technologies to design data modeling scenarios, transformations and provide optimal data engineering solutions
Create and maintain ETL Data process documentation & definitions, including data dictionaries and process flows
Having experience using Data Modelling, ETL process, and Big Data Technologies, Data Lake and/or Data Warehouse architecture, Proficienct and experience in SQL and/or NOSQL is a must, experience in one or more programming language (Java, Scala, Python, etc)",None
Data Engineer,PT Esha Parama Teknologi,Jakarta,None,Full time,"Job Description:

Data Modeling, ETL process, Big Data Technologies (Hadoop, Spark, NoSQL),
Programming Language (Python), Data Governance, Data Security

1. Design, develop, and maintain a robust and
efficient data architecture to collect, store, and process data from various sources
in the used car sales website platform.
2. Design and implement an optimal database schema, and
ensure data integrity and quality to support accurate analysis and decision-making for the development and management teams.
3. Build and manage data pipelines to efficiently flow data
from source to destination, so that relevant information can be accessed
and used quickly by various parts of the company.
4. Collaborate with data scientist, analyst, and development teams to
understand data needs and provide solutions that enable in-depth analysis and application of business intelligence in the used car sales platform.",None
Data Analyst Supervisor,PT. Master Persada Indonesia,"North Jakarta, Jakarta","Rp 5,000,000 – Rp 7,000,000 per month",Contract/Temp,"Deskripsi Pekerjaan:
Merancang dan memelihara sistem data kunjungan sales dan database customer
Mengidentifikasi data dari sumber primer dan sekunder
Menyiapkan laporan untuk mengkomunikasikan data dalam bentuk tren, pola, dan prediksi menggunakan data yang relevan
Membantu user untuk mengidentifikasi korelasi serta pola dari data-data tersebut
Melakukan analisa data penjualan secara menyeluruh, meliputi analisa customer, penetrasi area, analisa kompetitor, monitoring dan evaluasi area penjualan.
 Kualifikasi:
Usia 25 - 35 tahun
Pendidikan S1 Semua jurusan (diutamakan statistic/matematika)
Pengalaman minimal 2 tahun dibidang pengolahan data dan analisa
Dapat mengoperasikan MS. Excel level advanced
Penempatan di Pegangsaan Dua, Jakarta Utara
 ",None
Data Enterprise Analyst,PT Mandiri Tunas Finance,"Central Jakarta, Jakarta",None,Full time,"Deskripsi Pekerjaan:
Mengumpulkan, membersihkan, dan menganalisis data dalam jumlah besar untuk mengidentifikasi tren, pola, dan wawasan.
Mengembangkan dan memelihara dashboard serta laporan untuk melacak indikator kinerja utama (KPI).
Membantu dalam desain dan implementasi data warehousing serta proses ETL (Extract, Transform, Load).
Mendukung inisiatif tata kelola data untuk memastikan kualitas dan kepatuhan data terhadap regulasi.
Mengkomunikasikan konsep terkait data yang kompleks dengan cara yang mudah dipahami oleh audiens non-teknis.
Memelihara dokumentasi terkait proses data, analisis, dan temuan untuk referensi dan kepatuhan di masa mendatang.
Tetap memperbarui pengetahuan mengenai tren industri dan teknologi baru yang terkait dengan analisis data.
Kualifikasi :
Pendidikan minimal S1 di bidang Ilmu Komputer, Data Science, Statistika, atau bidang terkait (gelar master lebih diutamakan), dengan IPK minimal 3,20.
Familiar dengan platform cloud seperti AWS, Google Cloud, atau Azure dapat menjadi nilai tambah.
Penguasaan SQL dan setidaknya satu bahasa pemrograman (misalnya, Python, R).
Pengalaman dengan alat visualisasi data (misalnya, Tableau, Power BI).",None
DATA ANALIS - JATIBARANG,PT Fastrata Buana (Distributor Kapal Api),"Jatibarang, West Java",None,Full time,"Tanggung Jawab:
Membuat laporan penjualan cabang berupa data pencapaian target, pertumbuhan penjualan, fluktuasi penjualan dan data pareto outlet agar dapat digunakan oleh Branch Manager sebagai dasar analisa dan pengambilan keputusan

Kualifikasi:
Usia maks 30 tahun
Pendidikan DIII/ S1 Jurusan statistik/ matematika/teknik informatika
Pengalaman minimal 1 Tahun sebagai Data Analis
Paham MS Excell tingkat mahir
Diutamakan pengalaman menggunakan sistem Oracle
Penempatan : JATIBARANG",None
Data Analyst - PT Federal International Finance,PT Astra International - Toyota Sales Operation (Auto2000),Jakarta,None,Part time,"1. Melakukan pengumpulan, pembersihan, dan pemrosesan data konsumen untuk memastikan data siap digunakan dalam analisis lebih lanjut.2. Menganalisis data konsumen secara mendalam untuk menghasilkan rekomendasi berbasis data yang mendukung pengambilan keputusan bisnis.3. Membuat laporan harian terkait data proyek dan mendistribusikannya kepada tim terkait untuk pemantauan kinerja dan hasil secara berkelanjutan.4. Berkolaborasi dengan tim lain untuk mengidentifikasi pola atau tren dalam data yang relevan dengan tujuan strategis perusahaan.
1. Lulusan Sarjana dari jurusan Statistika atau Matematika dan jurusan lainnya yang berkaitan dari universitas terkemuka.2. Antusias dalam bidang Data Science serta memiliki pemahaman mendalam mengenai alat-alat statistik.3. IPK minimal 3.0.4. Memiliki pengetahuan dan pengalaman yang memadai dalam analitik data serta penggunaan alat query (Python/R/SPSS dan SQL).5. Mampu berpikir analitis dengan keterampilan perencanaan yang kuat untuk menyusun strategi berbasis data.6. Keterampilan komunikasi dan presentasi yang baik untuk menyampaikan hasil analisis secara jelas dan efektif kepada berbagai pihak.7. Mahir dalam pemecahan masalah untuk menemukan solusi berbasis data terhadap tantangan yang dihadapi.",None
Machine Learning,PT Caraka Komunika Indonesia,"South Jakarta, Jakarta",Rp 7.000.000 – Rp 10.000.000 per month,Full time,"Requirements :
Bachelor Degree in Computer Science or any related field.
2 years of experience in machine learning, software engineering, or DevOps.
Hands-on experience with machine learning frameworks(TensorFlow, PyTorch,etc).
Experience with cloud platforms (AWS, Azure, Google Cloud) and their ML services.
Familiar with containerization (Docker, Kubernetes).
Experience with model versioning and management tools (MLflow, DVC).
Knowledge of data privacy and security best practices.
Familiarity with Agile methodologies and practices.
 Responsibilities :
Design, build, and maintain machine learning infrastructure and pipelines for face recognition and computer vision products.
Automate the deployment and monitoring of machine learning models in production.
Collaborate with Data Scientists and Software Engineers to integrate ML models into applications.
Implement Cl/CD practices for machine learning projects.
Monitor model performance and accuracy, addressing issues as they arise.
Ensure data quality and consistency across various stages of ML pipeline.
Manage and optimize cloud based ML services and resources.
Develop and maintain documentation for MLOps processes and best practices.",None
Data Analyst,"PT SMART,Tbk",Jakarta,None,Full time,"Job Description Summary:
Deforestation MRV to support compliance to policy, regulations and projects needed (government and markets); Monitoring and Reporting for Upstream & Downstream and ensured a proper and reliable verification for deforestation monitoring alerts towards transparent and responsible sourcing.
 Job Description:
To validate supplier-supply base data in TTP Declaration
To investigate and analyze third party supplier boundaries
Specific for EUDR : to ensure alert(s) (individual or connected) having size >0.5 hectares
To calculate and analyze comparative %NDV score each cycle
To report and update %NDV score in all GAR Downstream facilities each cycle
To develop justification for desktop-based calculation and collect evidence reports
To seek deforestation clarity from suppliers (internal & external engagement)
To do QC on reporting that matches to standard required by customers
To recalculate, verify and update final %NDV score according to provided field verification
To develop procedures or working instruction (SOP/IK)
To manage database of supply base
 Job requirement:
Bachelor's Degree with 2 years of work experience as a data analyst
Analytical skills with a focus on providing forward-looking insight and value added analysis
Applicants must be willing to work in Thamrin.
Full-Time position(s) available.
 ""Our company has never levied any fees for the recruitment process nor has it required to order tickets and accommodation through a certain travel agent or certain person""",None
Data Scientist,PT Simplefi Teknologi Indonesia (Jakarta),"South Jakarta, Jakarta",None,Full time,"Company Overview
AwanTunai is the leading vertical fintech player digitizing the offline FMCG supply chain in Indonesia. We solve for both operational and financing pain points through ERP software and integrated embedded financing for offline suppliers. Our traditional suppliers have aggregate annual sales of over $3bn+ and our embedded financing is on track to reach the annualized $1bn milestone next quarter. We have been growing revenues at an average 30% QoQ with 0.2% credit loss rates over the pandemic period across hundreds of traditional suppliers.
Our financial impact has won accolades from the UNCDF, Monetary Authority of Singapore, and with the IFC (World Bank Group) as a major shareholder. Management and our impact focused shareholders are committed to building a world class team regardless of diversity or location. 
Our fraud management has won the trust of global banking groups (MUFG, OCBC), the largest local institutions (Bank BRI, Bank Mandiri), as well as global insurers (AA rated Munich Re) who protect our loan assets against credit default.
Role
AwanTunai is looking for a Data Scientist who will analyze and interpret complex data using statistical methods, machine learning, and domain expertise to extract insights, make predictions, and drive data-driven decisions.
Responsibilities
Conduct data exploration and discovery, and advanced data mining analysis on spatial-temporal data, user behavioral data, transaction data, machine/device log data, and others
Conduct experiments with data, build working prototypes to demonstrate ideas and results
Build scalable pipeline and data science models with open source systems or proprietary tools
Collaborate with business teams to contribute to new use cases for solving clients’ problems
Participate in IP creation, such as patenting, case studies, white papers and research papers as determined by business needs
Requirements
3+ years experience of successful application of machine learning, data mining, and statistical analysis with demonstrable impact and proven track records
Demonstrated ability to take high level, loosely-defined business problems and identify precise, quantitative solutions 
Working knowledge of databases and query engines for structured and unstructured data, data transformation (ETL), software development methodologies, and data science languages like Python, R, or others
Self-starter, capable of experimenting with various tools and developing own code and scripts for data manipulation, experimentation, algorithm implementation, accuracy measurements, etc.
Familiar with basic software development skills (agile methodologies, testing, version control, etc.)
Preferred to have advanced degree in Computer Science, Machine Learning, Operational Research, Mathematics or Statistics, or other equivalent subjects
Preferred to be familiar with basic software development skills (agile methodologies, testing, version control, etc.)",None
