Month,JavaScript_tiobe,JavaScript_wiki,JavaScript_gtrend,JavaScript_tiobe_label,JavaScript_wiki_label,JavaScript_gtrend_label
2015-07,0.1915887850467289,0.0630356786924456,0.1764705882352941,low,low,low
2015-08,0.177570093457944,0.0825692645006976,0.2352941176470588,low,low,low
2015-09,0.2616822429906542,0.1050926848714371,0.2941176470588235,low,high,low
2015-10,0.2383177570093458,0.139824596372334,0.3529411764705882,low,high,high
2015-11,0.3224299065420562,0.1320510265098664,0.4117647058823529,low,high,high
2015-12,0.2710280373831775,0.0977177596173011,0.3529411764705882,low,low,high
2016-01,0.3691588785046729,0.1275164440900937,0.1764705882352941,low,high,low
2016-02,0.1962616822429907,0.1025513254933227,0.2941176470588235,low,high,low
2016-03,0.2570093457943926,0.1552222443691449,0.2352941176470588,low,high,low
2016-04,0.3691588785046729,0.1553219055212278,0.2352941176470588,low,high,low
2016-05,0.2616822429906542,0.1417181582619095,0.2352941176470588,low,high,low
2016-06,0.3738317757009347,0.1041459039266494,0.2352941176470588,high,high,low
2016-07,0.4018691588785048,0.0913892764600358,0.0,high,low,low
2016-08,0.4345794392523365,0.1119693043651584,0.1764705882352941,high,high,low
2016-09,0.5373831775700936,0.1165038867849312,0.1764705882352941,high,high,low
2016-10,0.4532710280373832,0.1500398644608331,0.2352941176470588,high,high,low
2016-11,0.4345794392523365,0.1364361172015148,0.2352941176470588,high,high,low
2016-12,0.5046728971962617,0.0996113215068766,0.1764705882352941,high,low,low
2017-01,0.5000000000000001,0.1142615108630655,0.2352941176470588,high,high,low
2017-02,0.5093457943925235,0.1078831971297588,0.2941176470588235,high,high,low
2017-03,0.4158878504672897,0.1084811640422563,0.1764705882352941,high,high,low
2017-04,0.5000000000000001,0.1382798485150488,0.2352941176470588,high,high,low
2017-05,0.602803738317757,0.1377815427546342,0.2352941176470588,high,high,low
2017-06,0.5794392523364487,0.0732011162049033,0.0588235294117647,high,low,low
2017-07,0.3878504672897196,0.100308949571457,0.1764705882352941,high,low,low
2017-08,0.1495327102803738,0.1176499900338848,0.2352941176470588,low,high,low
2017-09,0.1121495327102803,0.1043452262308152,0.1764705882352941,low,high,low
2017-10,0.5747663551401869,0.1223838947578234,0.2352941176470588,high,high,low
2017-11,0.5560747663551403,0.1069364161849711,0.2941176470588235,high,high,low
2017-12,0.3224299065420562,0.0808251943392465,0.2352941176470588,low,low,low
2018-01,0.7897196261682244,0.1013055610922862,0.1764705882352941,high,high,low
2018-02,0.6448598130841123,0.0628861869643213,0.2352941176470588,high,low,low
2018-03,1.0,0.100308949571457,0.2352941176470588,high,low,low
2018-04,0.7990654205607479,0.0890472393860873,0.2352941176470588,high,low,low
2018-05,0.5327102803738318,0.0819214670121586,0.2352941176470588,high,low,low
2018-06,0.3364485981308411,0.0464420968706398,0.0588235294117647,low,low,low
2018-07,0.4906542056074767,0.0866055411600558,0.1764705882352941,high,low,low
2018-08,0.294392523364486,0.0884991030496312,0.2352941176470588,low,low,low
2018-09,0.1635514018691588,0.1070859079130954,0.2352941176470588,low,high,low
2018-10,0.233644859813084,0.1214371138130356,0.2941176470588235,low,high,low
