Month,SQL_tiobe,SQL_wiki,SQL_gtrend,SQL_tiobe_label,SQL_wiki_label,SQL_gtrend_label
2015-07,0.8062015503875969,0.2678132678132678,0.5714285714285714,high,medium,high
2015-08,0.8062015503875969,0.5546683046683046,0.7301587301587301,high,high,high
2015-09,0.8062015503875969,0.6778255528255528,0.7936507936507936,high,high,high
2015-10,0.8062015503875969,0.9775798525798526,0.8888888888888888,high,high,high
2015-11,0.8062015503875969,1.0,1.0,high,high,high
2015-12,0.8062015503875969,0.6609336609336609,0.7619047619047619,high,high,high
2016-01,0.8062015503875969,0.6885749385749386,0.5714285714285714,high,high,high
2016-02,0.8062015503875969,0.6062653562653563,0.492063492063492,high,high,medium
2016-03,0.8062015503875969,0.8995700245700246,0.6031746031746031,high,high,high
2016-04,0.8062015503875969,0.8191031941031941,0.6349206349206349,high,high,high
2016-05,0.8062015503875969,0.699017199017199,0.5396825396825397,high,high,medium
2016-06,0.8062015503875969,0.4818796068796069,0.5079365079365079,high,medium,medium
2016-07,0.8062015503875969,0.4047911547911548,0.1587301587301587,high,medium,low
2016-08,0.8062015503875969,0.5310196560196561,0.365079365079365,high,high,low
2016-09,0.8062015503875969,0.6188574938574939,0.3968253968253968,high,high,medium
2016-10,0.8062015503875969,0.7604422604422605,0.5555555555555556,high,high,high
2016-11,0.8062015503875969,0.6741400491400491,0.6825396825396826,high,high,high
2016-12,0.8062015503875969,0.5549754299754299,0.492063492063492,high,high,medium
2017-01,0.8062015503875969,0.5,0.5396825396825397,high,medium,medium
2017-02,0.8062015503875969,0.4401105651105651,0.5714285714285714,high,medium,high
2017-03,0.8062015503875969,0.6575552825552825,0.5873015873015873,high,high,high
2017-04,0.8062015503875969,0.4944717444717444,0.5079365079365079,high,medium,medium
2017-05,0.8062015503875969,0.5347051597051597,0.5079365079365079,high,high,medium
2017-06,0.8062015503875969,0.3138820638820638,0.238095238095238,high,medium,low
2017-07,0.8062015503875969,0.4136977886977886,0.2857142857142857,high,medium,low
2017-08,0.8062015503875969,0.4195331695331695,0.4603174603174603,high,medium,medium
2017-09,0.8062015503875969,0.5426904176904177,0.3809523809523809,high,high,low
2017-10,0.8062015503875969,0.7328009828009828,0.5873015873015873,high,high,high
2017-11,0.8062015503875969,0.6504914004914005,0.6666666666666666,high,high,high
2017-12,0.8062015503875969,0.5042997542997543,0.4444444444444444,high,medium,medium
2018-01,0.8062015503875969,0.6980958230958231,0.4603174603174603,high,high,medium
2018-02,0.7441860465116279,0.4465601965601966,0.4444444444444444,high,medium,medium
2018-03,1.0,0.7288083538083538,0.6031746031746031,high,high,high
2018-04,0.9689922480620154,0.5267199017199017,0.492063492063492,high,high,medium
2018-05,0.4573643410852713,0.5175061425061425,0.4285714285714285,medium,high,medium
2018-06,0.7286821705426356,0.2066953316953317,0.0952380952380952,high,low,low
2018-07,0.7209302325581396,0.4708230958230958,0.4285714285714285,high,medium,medium
2018-08,0.7131782945736433,0.4333538083538084,0.4444444444444444,medium,medium,medium
2018-09,0.5116279069767443,0.5933660933660934,0.4761904761904761,medium,high,medium
2018-10,0.496124031007752,0.691953316953317,0.6190476190476191,medium,high,high
2018-11,0.3410852713178295,0.6305282555282555,0.5873015873015873,medium,high,high
2018-12,0.6046511627906979,0.5773955773955773,0.5238095238095238,medium,high,medium
2019-01,0.6821705426356588,0.6253071253071253,0.5238095238095238,medium,high,medium
2019-02,0.3875968992248061,0.4063267813267813,0.3809523809523809,medium,medium,low
2019-03,0.4108527131782946,0.7585995085995086,0.5555555555555556,medium,high,high
2019-04,0.6744186046511629,0.628992628992629,0.5079365079365079,medium,high,medium
2019-05,0.8992248062015504,0.523034398034398,0.5396825396825397,high,high,medium
2019-06,0.6356589147286824,0.304054054054054,0.3492063492063492,medium,medium,low
2019-07,0.4496124031007752,0.5070638820638821,0.6825396825396826,medium,high,high
2019-08,0.1782945736434108,0.4631449631449631,0.6349206349206349,low,medium,high
2019-09,0.4186046511627907,0.5850737100737101,0.6349206349206349,medium,high,high
2019-10,0.4108527131782946,0.691953316953317,0.6507936507936508,medium,high,high
2019-11,0.2248062015503876,0.6025798525798526,0.6507936507936508,low,high,high
2019-12,0.3410852713178295,0.4566953316953317,0.5714285714285714,medium,medium,high
2020-01,0.0775193798449613,0.3848280098280098,0.5238095238095238,low,medium,medium
2020-02,0.1007751937984497,0.3691646191646192,0.5714285714285714,low,medium,high
2020-03,0.3333333333333334,0.5248771498771498,0.4126984126984127,medium,high,medium
2020-04,0.5968992248062015,0.5565110565110565,0.2857142857142857,medium,high,low
2020-05,0.5348837209302325,0.2724201474201474,0.3333333333333333,medium,medium,low
