Company Name,Job Description
Turing,Turing is an AI-powered technology company disrupting the traditional recruiting model for companies seeking to engage the most deeply vetted developers and teams.
WebstaurantStore,"As the largest online distributor of restaurant supplies and equipment, WebstaurantStore hosts an expansive catalogue with over 430,000 products that are delivered through fast, dependable shipping. Unlike most in the e-commerce arena, almost all of our technological design, development, and systems management is done in-house, allowing us to create custom solutions within an ever-changing market. This consistent, organic growth is why we have a need for a Software Engineer (Mid-Senior) looking to further their career.
This team’s current projects involve migrating legacy ColdFusion applications into a modern C#.NET stack. You’ll have the opportunity to support ongoing development and maintenance efforts while also contributing to future plans of completely rewriting our application within .NET Core. This role will focus primarily on middle-layer and backend development of medium-largescale applications, with some involvement in UI work.
This position is 100% remote in qualified states only (see bottom of page for list) on a full-time, W2 basis.
We do not offer sponsorship.
Job Requirements
5+ years of experience in one or more of the following: C#, .NET Core, SQL, LINQ, and building RESTful APIs.
3 or more years of enterprise or corporate level large-scale system or application development experience.
3+ years of experience with Visual Studio, VS Code, ADO, and version control systems such as Git/GitHub.
1 or more years of experience working with and manipulating JSON data file format.
Proven ability to provide technical leadership on projects, serving as a team lead or mentor for less experienced developers.
History of working in an Agile environment as part of a SCRUM or Kanban team.
College degree in at least one of the following disciplines: Computer Science, Computer or Management Information Systems.
Preferred Skills (Not Required)
Strong understanding of design patterns and software architecture.
Working knowledge or experience with CI/CD, Docker, Grafana, Prometheus or Redis.
Bonus (Not Required):
Experience with ColdFusion development (for legacy app conversion efforts).
Recent history within retail space with basic understanding of logistical operations.
One Part of the Bigger Picture
WebstaurantStore’s parent company, Clark Associates, has made the Central Penn Business Journal’s list of “Top 50 Fastest Growing Companies” in Pennsylvania for 9 years in a row. The base of Clark’s success comes from four key directives: Hiring great people, creating value for customers, and investing in employees and their communities. These pillars drive each of Clark Associates’ multi-million-dollar businesses forward, including WebstaurantStore and other industry-leading names like 11400, Clark Food Service Equipment, The Restaurant Store, and Clark National Accounts.
Are You Ready?
Entrepreneurial Spirit is the driving force behind WebstaurantStore’s work environment. Making things better for our customers is our goal every single day. Achieving that goal means taking risks, accepting failure, and learning from our mistakes. If that sounds like a mission you’re ready to be a part of, we’d love to discuss this role with you further, and we’re excited to meet you!
Never heard of us? That’s okay! We love sharing our story.
WebstaurantStore | About Us
Video Message from Leadership
Clark Associates Timeline [Parent Company]
Check us out on:
LinkedIn
YouTube
Facebook
Instagram
TikTok
Pinterest

Remote work qualifications
Access to a reliable and secure high-speed internet connection. Cable or fiber internet connections (at least 75mbps download/10mbps upload) are preferred, as satellite connections often cannot support the technologies used to perform day-to-day tasks.
Access to a home router and modem.
A dedicated home office space that is noise- and distraction-free. The space should have strong wireless connection or a wired Ethernet connection (wired connection is preferred, if possible).
A valid, physical address (apartment, suite, etc.). PO Boxes are not supported, as a physical address is required for you to receive your computer equipment.
The desire and ability to work and communicate with other team members via chat, webcam, etc.
Legal residents of one of the following states: (AK, AL, AR, AZ, CT, DE, FL, GA, IA, ID, IN, KS, KY, LA, MD, ME, MI, MN, MO, MS, NC, ND, NH, NM, NV, OH, OK, PA, SC, SD, TN, TX, UT, VA, VT, WI, WV, and WY). H-1B Visa Sponsorship Not Available, W2 only."
PayPal,"The Company
PayPal has been revolutionizing commerce globally for more than 25 years. Creating innovative experiences that make moving money, selling, and shopping simple, personalized, and secure, PayPal empowers consumers and businesses in approximately 200 markets to join and thrive in the global economy.

We operate a global, two-sided network at scale that connects hundreds of millions of merchants and consumers. We help merchants and consumers connect, transact, and complete payments, whether they are online or in person. PayPal is more than a connection to third-party payment networks. We provide proprietary payment solutions accepted by merchants that enable the completion of payments on our platform on behalf of our customers.

We offer our customers the flexibility to use their accounts to purchase and receive payments for goods and services, as well as the ability to transfer and withdraw funds. We enable consumers to exchange funds more safely with merchants using a variety of funding sources, which may include a bank account, a PayPal or Venmo account balance, PayPal and Venmo branded credit products, a credit card, a debit card, certain cryptocurrencies, or other stored value products such as gift cards, and eligible credit card rewards. Our PayPal, Venmo, and Xoom products also make it safer and simpler for friends and family to transfer funds to each other. We offer merchants an end-to-end payments solution that provides authorization and settlement capabilities, as well as instant access to funds and payouts. We also help merchants connect with their customers, process exchanges and returns, and manage risk. We enable consumers to engage in cross-border shopping and merchants to extend their global reach while reducing the complexity and friction involved in enabling cross-border trade.

Our beliefs are the foundation for how we conduct business every day. We live each day guided by our core values of Inclusion, Innovation, Collaboration, and Wellness. Together, our values ensure that we work together as one global team with our customers at the center of everything we do – and they push us to ensure we take care of ourselves, each other, and our communities.
Job Description Summary:
Job Description:
Meet Your Team
PayPal is transforming global commerce. Our Engineering team is the heart of this transformation. We’re building innovative solutions that delight customers and drive business growth. Join our dynamic engineering team at PayPal, where you’ll have the opportunity to collaborate with talented peers and work on high-impact projects in an agile environment. We're not just building systems; we're creating scalable, high-performance solutions that make a real difference in global commerce. We prioritize code quality, customer focus, and rapid iteration. Our engineers work closely with design, product, and QA teams to deliver world-class experiences.
Your way to impact
At PayPal, Full Stack Software Engineers are the architects of our global payment platform. You'll design, develop, and optimize core systems powering millions of transactions daily, delivering innovative solutions that delight customers and drive business success.
Your day-to-day:
As a Full Stack Software Engineer, you will:
Architect and implement robust Full-stack systems.
Enhance system performance and reliability through optimization.
Mentor and guide junior engineers in their development.
What you need to bring:
Bachelor’s degree in computer science or related field.
3-5 years of Full Stack development experience.
Proficiency in JavaScript, HTML, CSS, and at least one modern frontend framework (React, Angular, Vue).
Strong understanding of database technologies (SQL, NoSQL), problem-solving, debugging skills, Data structures & algorithms
Preferred Qualifications:
Experience with cloud platforms (AWS, GCP, Azure).
Knowledge of payment processing or financial services industry.
Knowledge Design patterns
For the majority of employees, PayPal's balanced hybrid work model offers 3 days in the office for effective in-person collaboration and 2 days at your choice of either the PayPal office or your home workspace, ensuring that you equally have the benefits and conveniences of both locations.

Our Benefits:
At PayPal, we’re committed to building an equitable and inclusive global economy. And we can’t do this without our most important asset—you. That’s why we offer benefits to help you thrive in every stage of life. We champion your financial, physical, and mental health by offering valuable benefits and resources to help you care for the whole you.
We have great benefits including a flexible work environment, employee shares options, health and life insurance and more. To learn more about our benefits please visit https://www.paypalbenefits.com

Who We Are:
To learn more about our culture and community visit https://about.pypl.com/who-we-are/default.aspx

Commitment to Diversity and Inclusion
PayPal provides equal employment opportunity (EEO) to all persons regardless of age, color, national origin, citizenship status, physical or mental disability, race, religion, creed, gender, sex, pregnancy, sexual orientation, gender identity and/or expression, genetic information, marital status, status with regard to public assistance, veteran status, or any other characteristic protected by federal, state, or local law. In addition, PayPal will provide reasonable accommodations for qualified individuals with disabilities. If you are unable to submit an application because of incompatible assistive technology or a disability, please contact us at paypalglobaltalentacquisition@paypal.com.
Belonging at PayPal:
Our employees are central to advancing our mission, and we strive to create an environment where everyone can do their best work with a sense of purpose and belonging. Belonging at PayPal means creating a workplace with a sense of acceptance and security where all employees feel included and valued. We are proud to have a diverse workforce reflective of the merchants, consumers, and communities that we serve, and we continue to take tangible actions to cultivate inclusivity and belonging at PayPal.

Any general requests for consideration of your skills, please Join our Talent Community.

We know the confidence gap and imposter syndrome can get in the way of meeting spectacular candidates. Please don’t hesitate to apply.
As part of PayPal’s commitment to employees’ health and safety, we have established in-office Covid-19 protocols and requirements, based on expert guidance. Depending on location, this might include a Covid-19 vaccination requirement for any employee whose role requires them to work onsite. Employees may request reasonable accommodation based on a medical condition or religious belief that prevents them from being vaccinated.
Notice to Applicants and Employees who reside within New York city. Click https://careers.pypl.com/Contact-Us/default.aspx

to view the notice."
Tek Ninjas,"Position: Fullstack Developer Location: Fort Worth, TX (Hybrid) Interview: In-Person Duration: 24 Months with EXT Only accepting Full stack (50/50) Angular/Java/ Mongo/Postgres True full stack – they are on Angular 14 and will work with UX Designers at times depending on project and role. SPAs / Typescript / etc. Heavy API build Azure Java 8+ Heavy Microservices and Design Pattern – TDD/ Event Driven Architecture Spring Batch NodeJS JMS MQ Optimization projects Need candidates with strong Angular experience

Top 3 to 5 skillsets / years of experience
Java 6+ years
Angular 6+ years
Azure Cloud 6+ years
Postgres DB 6+ years - Managers Team
MongoDB 2+ years - NoSQL DB other Manager that interacts uses
Education/Experience
Master’s Degree in computer science or equivalent training required
6+ years’ experience required"
Signature Aviation,"We are seeking a Senior Full Stack Software Engineer with experience working across multiple products (CRM, DSF - digital store front, FIM - Fuel Management System, and more). The most aligned candidate will have expertise in .NET, React, and Azure with exposure to Java and working within an Agile environment."
Signature Aviation,"We are seeking a Senior Full Stack Software Engineer with experience working across multiple products (CRM, DSF - digital store front, FIM - Fuel Management System, and more). The most aligned candidate will have expertise in .NET, React, and Azure with exposure to Java and working within an Agile environment."
Realign LLC,"Job Type: Contract
Job Category: IT
Job Description
Job Title: Python Fullstack Developer with ReactJS and AWS Knowledge
Job Summary:
We are seeking a talented Python Fullstack Developer with expertise in ReactJS and AWS to join our dynamic team. The ideal candidate will be responsible for designing and implementing scalable software solutions, as well as optimizing performance and security. If you are passionate about creating innovative applications and have a strong background in Python, ReactJS, and AWS, we want to hear from you.
Responsibilities and Duties:
1. Develop and maintain backend services using Python
2. Design and implement frontend applications using ReactJS
3. Manage and deploy applications on AWS cloud infrastructure
4. Collaborate with cross-functional teams to deliver high-quality software solutions
5. Perform code reviews and provide technical guidance to junior developers
6. Identify and implement best practices for software development and deployment
7. Troubleshoot and resolve technical issues in a timely manner
8. Stay up-to-date with the latest trends and technologies in software development
Qualifications and Skills:
1. Bachelor's degree in Computer Science or related field
2. Proven experience as a Fullstack Developer with expertise in Python, ReactJS, and AWS
3. Strong understanding of software design patterns and best practices
4. Proficiency in database management and optimization
5. Excellent communication and collaboration skills
6. Ability to work independently and in a team environment
7. Strong problem-solving skills and attention to detail
#PythonFullstackDeveloper #ReactJS #AWS #SoftwareDevelopment #SoftwareEngineering #WebDevelopment #FullstackDevelopment #Programming #JobOpening #TechnicalSkills #USJobs #ITJobs #DeveloperJobs #TechIndustry #TechnologyCareers
Required Skills
Cloud Developer"
Covenant Underwriters,"Software Developer
Covenant Underwriters is a dynamic insurtech start-up. Our combination of product and technology streamlines E+S markets, unleashing massive potential for our broker, carrier, and reinsurance partners. Covenant is a profitable growing company with proven success.
Responsibilities:

Work with Principal Architect to ensure architecture follows established patterns
Develop, test, and maintain web applications using C# and Blazor
Collaborate with cross-functional teams to define, design, and ship new features
Write clean, maintainable, and efficient code following best practices
Work with PO and PM to manage backlog
Identify and create integration and UI tests
Work with QA to determine need for more detailed test automation
Benefits Include:
Health benefits: medical, dental, HSA, vision, disability
Five weeks of paid time-off (annually)
401k match program
Parental leave (8 weeks)
Casually professional environment and dress code
Fully remote working arrangement
Being part of a growing company and team culture
Substantial company contingency bonuses
Employee development plan and support
Supervision Structure:
Reports directly to Principal Architect
Part of the DART team
Other Duties:
Attend monthly meetings
Complete quarterly reviews
Assist where needed with Covenant operations
Qualifications:
Based in the greater Dallas-Fort Worth area. Ability to work in-person at our office in Frisco, TX once per month
Ability to work in-person at our office in downtown Houston various times annually
Interest in learning about our programs and contributing to our growth
3+ Years Experience with C# and Blazor
3+ Years Experience with Entity Framework Core and SQL Server
Compensation:
Annual Salary: $120,000 to $150,000
Annual bonus based on team production
Covenant Underwriters is an equal opportunity workplace. Qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender perception or identity, national origin, age, marital status, protected veteran status, or disability status."
Atomic,"About Us:

Atomic is the venture studio that co-founds companies by pairing founders with the best ideas, teams, and resources, and funding those with the most potential. When entrepreneurs co-found with Atomic, they team up with an experienced group of operators who have started dozens of companies and created billions of dollars in enterprise value. Industry disruptors like Bungalow, Found, Hims and Hers, Homebound, OpenStore, and Replicant all started at Atomic along with dozens more. Atomic was founded in 2012 by serial entrepreneur Jack Abraham and has offices in NYC, Miami, and San Francisco with a distributed team across North America.

Overview:

We are building a company that supercharges recruiting workflows and will become a staple in every talent acquisition organization and search firm. Our beta product has been adopted by hundreds of recruiters with promising signals on a PLG sales motion and favorable retention metrics after only a few months.

We’re seeking a product-driven, founding engineer to join our team. As a core member of our team, you will not only bring a track record of engineering expertise, but will also be a driver of projects and features that build into our product strategy and vision, finding and executing opportunities that have not explicitly been “assigned”.

As one of our founding engineers, you'll help us deliver best-in-class software at start-up speed. With a test-and-learn mindset, you’ll architect solutions that are continuously improved through direct user feedback. Working directly with the founder, you'll lead our engineering efforts to develop software that improves the hiring process for candidates, recruiters, and hiring managers.

Our Tech Stack: Next.js (Typescript), OpenNext, AWS (CDK), DynamoDB, Lambda, S3, EventBridge, CloudWatch

This role is based in NYC and is hybrid in-office 3-4 days a week.
What You'll Do:
In your first six months on the job you’ll have:
Understood the company’s vision, goals, business model, and the challenges that our customers face.
Worked closely with our pilot users to solve their problems through elegant technical solutions.
Defined the medium-term technical strategy with a keen focus on incorporating business needs, user feedback, and the inherent flexibility required in an early stage-startup.
Led the release of the minimum viable product by working throughout the stack - backend, frontend, and infrastructure, with an emphasis on backend development.
Developed a data engineering strategy to synthesize data from disparate sources into an analysis ready state.
Made key improvements to our underlying infrastructure, and laid out the medium term architecture roadmap.
Identified practical use cases to take advantage of recent breakthroughs in Large Language Models (LLMs) and related technology as a first principle.
Helped recruit additional technical team members to form a world-class, collaborative team.
Established technical culture by setting best practices and norms.
Led the release of subsequent versions of the product, with a focus on third-party data integrations, to unblock new business and enable growth.
What You Have:
3+ yrs of total full time software development experience.
Experience with scripting languages and automation tools.
Experience with integration and tooling software.
Familiarity with cloud-based computing platforms (ex. AWS, Google Cloud).
Experience with multiple database management systems.
Strong problem-solving, debugging, and analytical skills with great attention to detail.
0->1 startup experience, ideally with a Pre-seed / Seed / Series A company
We are focused on building a diverse and inclusive workforce. If you’re excited about this role, but do not meet 100% of the qualifications listed above, we encourage you to apply.
-
Atomic is an Equal Opportunity Employer and considers applicants for employment without regard to race, color, religion, sex, orientation, national origin, age, disability, genetics or any other basis forbidden under federal, state, or local law. Atomic considers all qualified applicants in accordance with the San Francisco Fair Chance Ordinance.

Please review our CCPA policies here."
Ford Motor Company,"At Ford Motor Company, we believe freedom of movement drives human progress. We also believe in providing you with the freedom to define and realize your dreams. With our incredible plans for the future of mobility, we have a wide variety of opportunities for you to accelerate your career potential as you help us define tomorrow’s transportation.
The Ford Pro Telematics team is looking for strong Full Stack Software Engineers to build web applications and services that will be useful, reliable, and secure products for our customers. This team creates back-end services and APIs that are used to help customers understand, manage, and control their fleets of vehicles via a web application.

You'll Have…
Bachelor’s degree in computer science, computer engineering or a combination of education and equivalent work experience.
3+ years of experience in cloud development.
2+ years of experience with CI/CD tools and pipelines.
2 + year’s experience with API development in languages like Java or Kotlin.
2 + year's experience with Relational Databases and SQL like PostgreSQL.
Even better, you may have…
Highly effective in working with other technical experts, Product Managers, Dev Ops, Big Data, UI/UX Designers and business stakeholders.
Experience with Spring Frameworks.
GCP experience
Experience with Python/SQL
Experience with restful interfaces and OAS standards.
Ability to follow and improve coding practices, coding standards, design standards, and team Agile Practices.
Comfortable with Test Driven Development (TDD), Continuous Integration/Continuous Delivery tools and pipelines.
Experience with backlogs, user stories, Jira or similar Agile Tools.
Experience in the development of microservices.
Experience with pub/sub architecture and in general other cloud capabilities.
Strong analytical and problem-solving skills.
You may not check every box, or your experience may look a little different from what we've outlined, but if you think you can bring value to Ford Motor Company, we encourage you to apply!
As an established global company, we offer the benefit of choice. You can choose what your Ford future will look like: will your story span the globe, or keep you close to home? Will your career be a deep dive into what you love, or a series of new teams and new skills? Will you be a leader, a changemaker, a technical expert, a culture builder…or all of the above? No matter what you choose, we offer a work life that works for you, including:
Immediate medical, dental, vision and prescription drug coverage
Flexible family care days, paid parental leave, new parent ramp-up programs, subsidized back-up child care and more
Family building benefits including adoption and surrogacy expense reimbursement, fertility treatments, and more
Vehicle discount program for employees and family members and management leases
Tuition assistance
Established and active employee resource groups
Paid time off for individual and team community service
A generous schedule of paid holidays, including the week between Christmas and New Year’s Day
Paid time off and the option to purchase additional vacation time.
For a detailed look at our benefits, click here:
https://fordcareers.co/GSR-HTHD
https://fordcareers.co/GSRHTHDPaloAlto
Compensation will be determined according to experience and location. This position is a salary grade 6 - 8.
Visa sponsorship is not available for this position.
Candidates for positions with Ford Motor Company must be legally authorized to work in the United States. Verification of employment eligibility will be required at the time of hire.
We are an Equal Opportunity Employer committed to a culturally diverse workforce. All qualified applicants will receive consideration for employment without regard to race, religion, color, age, sex, national origin, sexual orientation, gender identity, disability status or protected veteran status. In the United States, if you need a reasonable accommodation for the online application process due to a disability, please call 1-888-336-0660.
#LI-Hybrid

What you’ll be able to do:
The Software Engineer will work on a full stack software engineering team and collaborate with the other Software Engineers, Designers, and Product Managers to deliver connected back-end services that support Web Clients/Mobile clients. The Software Engineer will be responsible for the development and ongoing support/maintenance of the services.
Product And Requirements Management: Participate in and/or lead the development of requirements, features, user stories, use cases, and test cases. Participate in stand-up operations meetings.
Author: Process, Technical Design and Support Documents.
Design/Develop/Test/Deploy: Collaborate with the broader Ford Pro Telematics team on solution designs, development, and deployment.
Incident, Problem, And Change/Service Requests: Participate and/or lead incident, problem, change and service request-related activities. Includes root cause analysis (RCA). Includes proactive problem management/defect prevention activities.
Delivery of products that include Spring/Cloud services that support processing and storing of telematics information while providing a secure set of APIs accessible to customers."
