Job Title,Company Name,Location,Salary,Job Type,Job Description,Date
Web Developer,PT Frantinco Indah Makmur,"Tangerang Regency, Banten",None,Full time,"Deskripsi Pekerjaan :
Bertanggung jawab untuk merancang, mengembangkan, dan memelihara website perusahaan serta memastikan website berjalan dengan baik di berbagai perangkat dan browser
Menjaga keamanan website dari potensi serangan siber, termasuk menerapkan enskripsi dari malware
Melakukan testing website
Debugging kode website
Memastikan desain website responsif
Membangun database
Mendesain interface dan navigasi web
Persyaratan :
Pendidikan minimal S1 bidang ilmu komputer, teknik informatika atau bidang terkait
Minimal pengalaman 2-3 tahun di bidang web developer
Memahami bahasa pemrogaman seperti PHP, Python dan lainnya
Memiliki keterampilan analitis untuk menciptakan halaman web yang menarik, fungsional dan bisa diakses di berbagai perangkat
Siap bekerja di hari senin - sabtu
Penempatan Kerja Pergudangan Bizpoint, Cikupa-Tangerang
 ",None
Full Stack Programmer,PT Royal Sutan Agung,"Pulo Gadung, Jakarta",None,Full time,"Responsibilities:
Develop and maintain robust, scalable web applications using Node.js for back-end and JavaScript frameworks for front-end.
Design and optimize PostgreSQL databases for efficient data storage, retrieval, and processing.
Collaborate with cross-functional teams (designers, product managers, etc.) to understand requirements and deliver high-quality solutions.
Implement RESTful APIs and integrate with third-party services.
Write clean, maintainable code and conduct code reviews.
Perform troubleshooting and repair source code for system errors
Ensure application security, performance, and responsiveness.
Conduct research on the latest programming technology that can be adapted to existing programs
Requirements:
• Bachelor’s degree in Computer Science, Information Technology, or a related field
• Mastering PostgreSQL
• Experience with PHP, Tailwindcss, Javascript, Github
• Experience in creating Warehouse Management Systems 
• Mastering one of the Node JS or Microsoft Visual Foxpro
•Willing to be placed in Kawasan Industri Candi, Semarang, Central Java",None
Programmer,PT. Bakti Artha Reksa Sejahtera,"North Jakarta, Jakarta",None,Full time,"Lulusan S1 Teknik Informatika, IPK  Minimal 3.0
Pengalaman kerja minimal 3 tahun
Usia Maksimal 30 tahun
Menguasai pemrograman VB.Net / C# / C++.
Menguasai Web Development atau Mobile Apps Programming menjadi nilai tambah
Terbiasa menggunakan database SQL SERVER.
Memiliki logika programming dan analisa algoritma yang baik.
Proaktif, kreatif, inovatif, dan terbiasa bekerja dengan target.
Mampu bekerja secara mandiri dan tim.
Menguasai pengembangan dengan Delphi/RAD Studio.
Menguasai pengembangan dengan MySQL.
Menguasai Mobile Apps Development dengan Android Studio/Flutter.
Menguasai Web App Development dengan Angular/Laravel.",None
IT Programmer Staff,"PT. Zyrexindo Mandiri Buana, Tbk","West Jakarta, Jakarta",Rp 5.000.000 – Rp 7.500.000 per month,Full time,"Qualification :
Bachelor degree of  Information Technology, Information Systems
Minimum 1-2 years in the same work experience
Comprehend the following IT skills : Golang, HTML, CSS, Typescip, JavaScrip, SQL,Tailwind Css.

 Job Description :
Developing new company application systems, both core applications and supporting applications
Maintain company application systems for both core applications and supporting applications
Create and maintain IT system architectural designs in accordance with company goals
Conduct exploration regarding technology platforms, frameworks, technical specifications related to application/system development and plans for the established architecture
Manage the company's website
 ",None
IT Programmer Lead,PT. ALDMIC COOPN DIGITAL,"West Jakarta, Jakarta",Rp 15.000.000 – Rp 20.000.000 per month,Full time,"Responsibilities:
Collaborating closely with senior stakeholders to understand business requirements and effectively translate them into technical requirements for the development team.
Planning and documenting comprehensive technical specifications for features or system design, ensuring a clear roadmap for development and implementation.
Designing, building, and configuring applications to meet business process and application requirements, leveraging your technical expertise and problem-solving skills.
Directing the development team in all aspects of the software development life cycle, including design, development, coding, testing, and debugging, to deliver high-quality solutions.
Writing testable, scalable, and efficient code, leading by example, and setting coding standards for the team.
Conducting code reviews and providing constructive feedback to ensure code quality and adherence to best practices.
Mentoring and guiding junior team members, fostering their professional growth, and encouraging the adoption of industry best practices.
Ensuring that software quality standards are met by enforcing code standards, conducting rigorous testing, and implementing continuous improvement processes.
Collaborating with cross-functional teams to align technical solutions with business goals and deliver effective and impactful software applications.
Staying updated with the latest technologies and industry trends, continuously enhancing technical skills, and driving innovation within the development team.
Requirements:
Bachelor’s degree in Computer Science, Information Technology, or a related field.
5+ years of experience in software development.
3+ years of experience in a leadership or supervisory role.
Proven track record of managing software projects from inception to completion.
Strong team management and mentoring abilities.
Excellent communication and interpersonal skills.
Ability to lead by example and motivate a team.
Adaptability and willingness to learn new technologies.
Strong collaboration skills to work with cross-functional teams.
A proactive approach to identifying and addressing issues.
Strong organizational skills and attention to detail.
Ability to manage multiple projects and prioritize tasks effectively.
Excellent understanding of Laravel and PHP 8.
Proficient in relational database design and management.
Experience with RESTful API design and implementation.
Experience with asynchronous & queued job handling.
Knowledge of version control systems, such as Git.
Experience with automated testing and CI/CD pipelines.",None
Programmer,Creazy studio,"Medan, North Sumatra",None,Contract/Temp,"Kami Mencari Programmer IT dari Kota Medan bisa berbahasa hokkian yang akan di tempatkan di Serpong, Tanggerang Selatan, Jakarta.
Spesifikasi :
Menguasai salah satu skill bahasa pemrograman diantanya : C, Java Script ,
PHP, Phyton, Visual Basic, UI UX design, web developer, mobile developer
 Persyaratan :
Minimal Lulusan S1 Teknik informatika / Sistem informasi 
Fresh Graduate di terima
Bersedia ditempatkan di Gading serpong
Motivasi belajar dan berkerja yang tinggi

Fasilitas :
Gaji pokok bulanan, tiket keberangkatan, tempat tinggal, peralatan kerja, cuti / libur
Operasional :
Senin - jumat (Fullday), Sabtu (Halfday), minggu & tanggal merah libur

DISCLAIMER : perusahaan bukan berbau judol / hal illegal
 ",None
Fullstack Developer,PT. KOBUS SMART SERVICE,"Kebon Jeruk, Jakarta",Rp 9.000.000 – Rp 13.000.000 per month,Full time,"Responsibilities:
Designing and implementing Backend: PHP-based and Frontend: Vue applications.
Analyzing user requirements to inform application design.
Defining application objectives and functionality.
Developing and testing software.
Debugging and resolving technical problems that arise.
Developing documentation to assist users.
 Qualifications:
Has 2-5 years of experience as Fullstack Developer
At least 2 years of experience in PHP (Laravel/Codeigniter)
At least 2 years of experience in Python (Django)
2 years experience in modern Javascript libraries (Vue.JS)
Able to create complex UI using HTML5, CSS3, and Javascript that works on multiple interfaces and environment
Familiar with databases such as PostgreSQL / DBeaver",None
Full Stack Java Web Developer,PT. Lua Kreatif Teknologi,"Yogyakarta, Yogyakarta Special Region","Rp 4,000,000 – Rp 6,000,000 per month",Full time,"Full Stack Java Web Developer untuk pengembangan aplikasi berbasis Monolithic Web.
Kriteria teknis:
Java
Spring Framework
Thymeleaf
Bootstrap
Postgresql
Kriteria lain sbb:
Berpangalaman mengembangan aplikasi berbasis Web minimal 1 tahun.
Berpangalaman mengembangan aplikasi dengan bahasa Java minimal 1 tahun.
Berpengalaman mengembangkan aplikasi menggunakan Spring Framework minimal 1 aplikasi
Pendidikan: 
Minimal S1 Teknik Informatika, 
IT / D3 Teknik Informatika, 
IT/ SMK RPL selama memenuhi syarat kualifikasi.
Menguasai :
Java, Spring Framework, Thymeleaf, Bootstrap, Postgresql.
Mampu berkomunikasi dan bekerjasa dengan tim.
Memiliki kemampuan problem solving dan analisis yang baik.
Memiliki koneksi internet yang baik dan stabil untuk mendukung pekerjaan. 
Diutamakan berdomisili di Yogyakarta dan sekitarnya.
Job deskripsi:
Membangun aplikasi web base dengan Spring Framework. 
Code backend dan frontend aplikasi.
Berkerja secara remote.
  ",None
IT Programmer Staff (.NET),PT Asuransi Jiwa Central Asia Raya (CAR),"West Jakarta, Jakarta",None,Full time,"Responsible:
NET platform web and mobile application design development , and testing in software development life cycle tasks to help the company in achieving its goals in IT division and department.

Qualification:
Candidate must possess at least Bachelor Degree
Willing to learn new programming language tools and method
Have a good understanding in n-tier system design
Have a good understanding in RDBMS and SQL
Have a good knowledge in Web and mobile application development
Have a good knowledge in version control system
Good motivation to learn
Good personality and team work
Excellent Communication skill",None
Programmer,PT Sukses Aneka Mulia (Jakarta),Jakarta,None,Full time,"Kualifikasi :
Usia maksimal 35 th
Min D3 jurusan Manajemen / Sistem / Teknik Informatika
Berpengalaman sebagai programmer selama 2 tahun atau Fresh Graduate dipersilahkan melamar
Paham bahasa pemrograman seperti  PHP, React, Postgresql dan Laravel
Memiliki analisa flowchart yang baik dalam merancang / mengembangkan sebuah sistem
Kreatif dan problem solver yang baik
Tertarik di bidang IT dan memiliki keinginan untuk belajar hal yang baru
Tugas & tanggung jawab pekerjaan :
Melakukan perencanaan dan merancang struktur hingga tampilan sistem / website
Mengidentifikasi bug dan melakukan debugging terhadap sistem / website
Melakukan coding dalam pembuatan sistem / website baru atau mendevelop sistem / website yg sudah ada
Melakukan maintenance terhadap sistem / website
Menjaga dan merancang keamanan database, sistem dan website agar tetap aman dari pencurian data dan virus
 ",None
