Job Title,Company Name,Location,Salary,Job Type,Job Description
"Data Analyst - Junior
- job post",Samsung Electronics,Jakarta,None,Full-time,"Position Summary
1. Contribute to continued discovery of business areas and strategic decision making by resolving issues through data analysis.
Role and Responsibilities
1. [Data analysis] Define and specify data analysis target and support modeling / verification / test / application.
2. [Data-based decision making] Research and support the insight to support decision making in the areas of business direction/market strategy/product strategy.
3. [Verification of decision effects] Support methods to verify the effect of decision on business (A/B Test, Simulator).
4. [Algorithms assetization] Support implementing, evaluating and verifying algorithms for data analysis.
Skills and Qualifications
Bachelor or Master Degree in Computer Science, Mathematics, Electrical Engineering and Physics from Reputable Universities.
Min 1 Year in Data Analytics
Have experience in Advance SQL Query
Knowledge and experience with data analytic tools such as Python, Excel
Strong analytical & statistical skills and ability to interpret complex data
Have experience in AWS Athena / Google Big Query is a plus
Experience in data modelling, data visualization, data manipulation (extract, transform, load), and predictive analytics is a plus
Good Organization and teamworking skill
Excellent communication abilities in English communication skill, in written and oral
Able to communicate in Korean Language is a plus
Samsung has a strict policy on trade secrets. In applying to Samsung and progressing through the recruitment process, you must not disclose any trade secrets of a current or previous employer."
"Junior Data Analyst
- job post",BukuWarung,Jakarta,None,Full-time,"Company Description

BukuWarung is an accounting app that helps MSMEs to manage their cash and credit transactions. Merchants receive 3x faster repayments and see increased cash flow due to the automatic payment reminders sent by the app. The app tracks all transactions including credit, expense and sales, and helps merchants get cash flow visibility through business reports.
BukuWarung's vision is to empower 60 million MSMEs in Indonesia to become financially aware and enable them to manage and grow their business using our technology platform starting with digital bookkeeping and payments. We currently have more than 600,000 merchants on the platform and are spread across 750 locations in Indonesia.
We are backed by East Ventures, Agaeti Convergence Ventures, Golden Gate Ventures, Tanglin Venture Partners and Sampoerna. We have advisors & angels from companies such as Grab, GoJek, Flipkart, PayPal, Carousell, Modalku, Rapyd, Mastercard, Instarem.

Job Description

This will be an exciting and challenging role that will enable you to work with very large data sets, expose you to cutting edge analysis techniques, work with the latest components in cloud architecture. As an early member, you will have significant opportunities for growth within the organization.
If you consider you have excellent communication skills, able to synthesize and present complex information and and and are a fast learner you should look forward to this:
You will:
Work closely with product, growth strategy and ops teams to solve daily business problems
Work on creating dashboards for company-level metrics and understand the derivation in business metrics and ready to get your hands dirty to solve the problem at hand
Be responsible for managing your work pipeline and creating re-usable analysis and documentation

Qualifications
You are someone with 0-2 years of experience working with data
You comfortable in writing SQL (Consider yourself a 10 on 10)
Be willing & able to quickly learn about new businesses, database & analysis techniques
Ability to tell a good story & support it with numbers and visuals
Strong oral and written communication

Additional Information

Want an immediate response and bored with the usual hiring process?
Go through the BW app and website and tell us what is the biggest data issue according to you we are facing and how would you solve it.
You don’t need to write a long email or make a wacky presentation, just tell us in words what you think."
"Data Analyst
- job post",Agent&Co,Jakarta,"Rp. 6,000,000 - Rp. 7,000,000 a month",Contract,"Qualifications:
- Male or Female
- Minimum education of a diploma (D3) in Mathematics, Accounting, Statistics, or a related field
- Experience in data analysis or administrative roles (preferred)
- Good communication skills, both verbal and written
- Ability to work effectively in a team
- Proficient in data analysis using tools such as SQL, Python, R, or other analytical tools.
- Experience with data visualization tools (e.g., Tableau, Power BI, or Google Data Studio).
- Strong understanding of statistics and data analysis methodologies.
- Capable of data processing, creating daily reports, and accurate calculations
- Maximum age: 30 years old
Job Responsibilities:
- Collect, process, and analyze data for distribution to agents
- Accurately calculate and verify agent incentives
- Prepare and compile daily reports
- Manage documentation related to analysis and generated reports
Location:
- South Jakarta
Salary:
IDR 6,000,000 - IDR 7,000,000
Job Type: Contract
Contract length: 12 months"
"SUSTAINABILITY DATA ANALYST
- job post",Super Indo,Jakarta,None,None,"DKI Jakarta
September, 10 2024
Job Objective
As a member of the Strategy and Sustainability team, the Sustainability Data Analyst plays a role in driving data-driven decision-making. This role involves providing data-based reports, analysis, and research related to the implementation of the company's ESG (Environmental, Social, and Governance) strategy. The analyst is also responsible for on-the-ground sustainability program implementation. The data analyst collaborates closely with various functions and divisions on ESG data sets and reporting requirements, delivering under tight deadlines and ensuring effective execution.
Job Responsibilities
-

Requirements
Minimum Bachelor’s degree of any discipline.
Excellent English writing and speaking skills is required.
Minimum 2 years of experience in data analysis role.
Proven experience of proficiency in MS Excel, solid understanding of statistics and data analysis is essential.
Good quantitative, critical thinking and problem-solving skills.
Proven experience of proficiency in MS Excel, solid understanding of statistics and data analysis is essential. .
Placement: JAKARTA

Job Overview
Job Level
Supervisor
Job Type
Permanent
Job Function
Sustainability"
"Data Analyst
- job post",Baller Indonesia,Tangerang,"Rp. 8,000,000 - Rp. 10,000,000 a month",None,"Job Description :
- Define & specify data analyst target and support modelling/verification/test/application
- Translate data analytics into some insights that can be understand in general
- Research and support the insight to support decision making in areas of business direction/market strategy/product strategy
- Support methods to verify the effect of decisions on business/marketing (a/b test, simulator)
- Do data collecting, data testing, and data visualization
Qualification :
- Bachelor Degree from IT, Information System or any related major with minimum 1 year experience in the same position or related field
- Have experience for handling and analyzing data for a better information and insights
- Have experience in Data Modelling, Data Visualization, and data manipulation (extract, transform, load) and predictive analytics
- Strong analytical & statistical skill
- Excellent in data story telling & insights generation
- Proficiency in English, good organization and teamwork skill
- Impressive oral and written communication skills
- Willing to work at Gading Serpong, Tangerang
Jenis Pekerjaan: Penuh Waktu"
"Data Analyst Intern
- job post",Agriaku,Jakarta,None,None,"Company Description

AgriAku is a leading technology-based local agribusiness company in Indonesia. Launched late last year, AgriAku's mission is empower mitra through sustainable, inclusive and profitable technology business models.
We are here to provide services for the needs of saprotan (sarana produksi pertanian) or agricultural production facilities that can be ordered through the application, anytime and anywhere with ease.

Job Description

Work closely with stakeholders to understand their data needs and requirements.
Analyze business needs &amp; build dashboard/analytical solutions for stakeholders to support their decision making.
Improve data quality and resolve data related issues that may occur together with data engineer and other related parties.
Communicate and present data to stakeholders and manage their expectation
Design and build data marts to enable self-service analytics

Qualifications

Excellent SQL skill for data visualization, analysis, cleansing, and modelling.
Excellent in statistics/math to solve analytical problems.
- Experience in data visualization tools - such as Tableau, Power BI, Google Data Studio, Metabase.
Demonstrate a good communication skill.
Have collaborative spirits to work well with cross-function teams.
Passionate about solving problems with data.
Have strong analytical and logical skills."
"Data Analyst (Intern)
- job post",Lumina,Tangerang,None,None,"Company Description

Lumina (https://lumina.mba) is a community-based recruiting and benefits platform for blue/grey collar workers in Southeast Asia. We start with helping laid-off workers to get jobs as COVID is recovering in Indonesia and getting them engaged in our community to upskill. In just a few months we attracted more than 1 million job seekers, and more than 50 thousand jobs from thousands of companies.
Lumina's mission is to build technologies for 300 million Indonesians to find jobs and be financially better off. Join our high-performing & ambitious core team, and work directly with the founders!

Job Description
Work with stakeholders throughout the organization to identify opportunities for leveraging company data to drive business solutions.
Build reporting & monitoring dashboards for stakeholders to manage their daily business process
Mine and analyze data from company databases to drive optimization and improvement of product development, marketing techniques and business strategies.
Assess the effectiveness and accuracy of new data sources and data gathering techniques.

Qualifications
Experience using statistical computer languages (SQL, R, Python, etc.) to manipulate data and draw insights from large data sets.
Strong quantitative, mathematical, and analytical problem solving skills.
Able to convey data & insights through appropriate visualization techniques.
Knowledge of advanced statistical techniques and concepts (regression, properties of distributions, statistical tests and proper usage, etc.) and experience with applications.
Excellent written and verbal communication skills for coordinating across teams.
A drive to learn and master new technologies and techniques.
Students/fresh graduate majoring in STEM (Science, Technology, Engineering, Mathematics) or Statistics is a plus.

Additional Information

What is like to work at Lumina?
Lumina is, at heart, a technology company. To achieve our mission, we need strong engineers who can help solve the complex problems we face day-to-day. In building high-engagement consumer products, we must match varying user needs with great technological innovations.
We work in small, iterative sprints with a focus on experimentation to gain actionable insights and give value to our users. As a young team of engineers, we are keen on learning and improving ourselves together by living the journey of a fast-growing startup.
We strive to work in a company of warm, high energy, and inclusive people who treat each other exceptionally well. In retrospective sessions, we facilitate and encourage each other to grow in the direction of their personal mission and values. We are committed to build a healthy long-term working relationships where you can reach your full potential.
Note:
At Lumina, we’re looking for people with high ownership, growth-mindset, and integrity. We encourage you to apply even if your experience doesn’t precisely match the job description. Our rigorous interview and onboarding process will help in finding what’s stand out and exceptional in yourself."
"DATA ANALYST
- job post",Yamaha Indonesia Motor Manufacturing,Semarang,None,None,"Educational Level : S1
Area Placement : SEMARANG - JAWA TENGAH
REQUIREMENT :
S1 Statistika / Manajemen / Komputer
Mampy beradaptasi & bekerjasama dalam tim
Memiliki kemampuan komunikasi yang baik
Memahami ruang lingkung otomotif sepeda motor
Mahir menggunakan Ms. Office

JOB DESCRIPTION :
Pembuatan laporan POLREG
Membuat Laporan Leasing
Membuat Rekap Price Condition yamaha dan competitor
Memasukan data POLREG & Strategic Meeting ke server
Membuat data-data dan bahan-bahan Meeting pimpinan
Melakukan survey marketing
Membantu MTP sales dan data-data yang dibutuhkan pimpinan"
"Part Time Data Analyst
- job post",PT Sanidata Indonesia,Denpasar,None,None,"Requirements
Teliti
Memiliki komunikasi yang aktif & baik
Mahir menggunakan excel (pivot,graph,dll)
Job Desc:
Melakukan pengumpulan data untuk keperluan analisa
Mengolah dan menganalisa data yang ada dalam bentuk laporan
Memberikan rekomendasi atau kesimpulan dari pengolahan data yang dilakukan
Jenis Pekerjaan: Paruh Waktu
Jumlah jam yang diharapkan: Tidak kurang dari 27 per minggu"
"Data Analyst Intern
- job post",Novo Nordisk,Jakarta,None,None,"Data Analyst Intern
Category: Education
Location: Jakarta, DKI Jakarta, ID
Are you passionate about data analysis and visualization? Are you looking for an opportunity to develop valuable skills in a global healthcare company? We are seeking a Data Analyst Intern to join our team in our Finance & Operations (F&O) and Customer Engagement (CE) departments. If you are eager to work on data architecture and visualization projects, collaborate with stakeholders, and drive business insights, then this internship is for you. Apply today for a life-changing career.
Novo Nordisk has been globally recognized as the Best Place to Work, topping the ranks for two consecutive years in 2022 and 2023. It is an exciting time to join Novo Nordisk and be part of a dynamic company in an even more dynamic industry, helping us achieve our aspirations to establish a global presence in the industry.
Joining the Data Analyst Intern Pipeline
You are applying to be part of the Novo Nordisk Talent Pool. We are currently not interviewing for this role but we are building a pipeline for future opportunities. If you would like to be considered for a similar position in the future, please submit your CV.
Joining our pipeline means that you will be considered a potential match for all current and upcoming Data Analyst Intern roles.
By applying, we’ll match your profile on a continuous basis against all suitable positions to ensure you don’t miss out on a life-changing career. When an opportunity arises, we will reach out and invite you for an interview. We will keep your application for six months ensuring the best opportunities to provide a solid match for open positions.
If you want to be considered for the Data Analyst Intern position, we look forward to receiving your application.

About the department
The Data Analyst Intern will be part of the Finance & Operations (F&O) and Customer Engagement (CE) departments in Novo Nordisk Indonesia. These departments play a crucial role in ensuring the smooth operation of our business and maintaining strong relationships with our customers. As an intern, you will have the opportunity to work closely with experienced professionals and gain valuable insights into the pharmaceutical industry.

The position
As a Data Analyst Intern, you will work on data architecture and visualization projects, collaborate with stakeholders on requirement gathering, and prepare frameworks to drive business insights. This internship will provide you with the opportunity to develop valuable skills such as data modelling, visualization, and analytical problem-solving.
Internship Duration: 6 months
Location: Jakarta, Indonesia
Internship allowances provided

Qualifications
Currently enrolled in a bachelor’s or master’s degree program in Computer Science, Data Science, or a related discipline.
Proficiency in data modelling and visualization tools, with a strong emphasis on PowerBI (Python is a plus).
Excellent critical thinking and problem-solving abilities.
Capable of working independently and meeting deadlines in a fast-paced environment.

Working at Novo Nordisk
We are a proud life-science company, and life is our reason to exist. We’re inspired by life in all its forms and shapes, ups and downs, opportunities, and challenges. For employees at Novo Nordisk, life means many things – from the building blocks of life that form the basis of ground-breaking scientific research, to our rich personal lives that motivate and energise us to perform our best at work. Ultimately, life is why we’re all here - to ensure that people can lead a life independent of chronic disease.

Contact
Upload your CV to our online career page (click on Apply and follow the instructions).
Deadline
The pipeline is open for applications until October 31, 2024. Due to GDPR, we close the pipelines after 3 months and send email notifications to all active candidates when they are closed, with a link to where you can re-apply to our new Pipeline.
We commit to an inclusive recruitment process and equality of opportunity for all our job applicants.

At Novo Nordisk we recognize that it is no longer good enough to aspire to be the best company in the world. We need to aspire to be the best company for the world and we know that this is only possible with talented employees with diverse perspectives, backgrounds and cultures. We are therefore committed to creating an inclusive culture that celebrates the diversity of our employees, the patients we serve and communities we operate in. Together, we’re life changing.

#LI-AMS1"
